,Date,daynight_category,temp
2653,2014-02-05,night,0.35454545454545455
2654,2014-02-06,day,0.0
2655,2014-02-06,night,0.0
2656,2014-02-07,day,0.26730769230769225
2657,2014-02-07,night,0.1454545454545454
2658,2014-02-08,day,1.1865384615384613
2659,2014-02-08,night,0.6704545454545456
2660,2014-02-09,day,1.7269230769230768
2661,2014-02-09,night,1.6136363636363642
2662,2014-02-10,day,3.5192307692307705
2663,2014-02-10,night,3.295454545454544
2664,2014-02-11,day,4.417307692307696
2665,2014-02-11,night,4.440909090909094
2666,2014-02-12,day,6.067307692307689
2667,2014-02-12,night,5.288636363636361
2668,2014-02-13,day,5.438461538461538
2669,2014-02-13,night,5.2295454545454545
2670,2014-02-14,day,5.51346153846154
2671,2014-02-14,night,5.279545454545454
2672,2014-02-15,day,4.161538461538462
2673,2014-02-15,night,4.77727272727273
2674,2014-02-16,day,4.6480769230769265
2675,2014-02-16,night,4.788636363636365
2676,2014-02-17,day,3.99423076923077
2677,2014-02-17,night,4.265909090909092
2678,2014-02-18,day,4.148076923076922
2679,2014-02-18,night,3.927272727272727
2680,2014-02-19,day,4.19230769230769
2681,2014-02-19,night,4.259090909090909
2682,2014-02-20,day,4.638461538461536
2683,2014-02-20,night,4.54090909090909
2684,2014-02-21,day,4.721153846153846
2685,2014-02-21,night,4.659090909090913
2686,2014-02-22,day,4.505769230769226
2687,2014-02-22,night,4.534090909090908
2688,2014-02-23,day,4.324999999999999
2689,2014-02-23,night,4.493181818181816
2690,2014-02-24,day,5.009615384615386
2691,2014-02-24,night,5.065909090909093
2692,2014-02-25,day,5.4826923076923055
2693,2014-02-25,night,5.372727272727273
2694,2014-02-26,day,5.3134615384615405
2695,2014-02-26,night,5.411363636363635
2696,2014-02-27,day,5.7134615384615355
2697,2014-02-27,night,5.888636363636368
2698,2014-02-28,day,6.103846153846153
2699,2014-02-28,night,6.188636363636363
2700,2014-03-01,day,5.184615384615382
2701,2014-03-01,night,5.290909090909091
2702,2014-03-02,day,3.871153846153847
2703,2014-03-02,night,4.243181818181816
2704,2014-03-03,day,5.565384615384618
2705,2014-03-03,night,5.381818181818182
2706,2014-03-04,day,5.890384615384613
2707,2014-03-04,night,6.0159090909090915
2708,2014-03-05,day,6.711538461538457
2709,2014-03-05,night,6.640909090909091
2710,2014-03-06,day,6.34423076923077
2711,2014-03-06,night,6.470454545454547
2712,2014-03-07,day,6.525000000000001
2713,2014-03-07,night,6.059090909090911
2714,2014-03-08,day,6.386538461538459
2715,2014-03-08,night,5.870454545454547
2716,2014-03-09,day,6.938461538461538
2717,2014-03-09,night,6.39
2718,2014-03-10,day,6.790384615384615
2719,2014-03-10,night,6.413636363636368
2720,2014-03-11,day,6.457692307692306
2721,2014-03-11,night,6.104545454545455
2722,2014-03-12,day,6.171153846153846
2723,2014-03-12,night,5.795454545454548
2724,2014-03-13,day,6.163461538461539
2725,2014-03-13,night,5.913636363636362
2726,2014-03-14,day,6.6499999999999995
2727,2014-03-14,night,6.261363636363637
2728,2014-03-15,day,6.721153846153846
2729,2014-03-15,night,6.261363636363638
2730,2014-03-16,day,6.9711538461538485
2731,2014-03-16,night,6.5159090909090915
2732,2014-03-17,day,5.6076923076923055
2733,2014-03-17,night,5.863636363636362
2734,2014-03-18,day,5.494230769230769
2735,2014-03-18,night,5.570454545454544
2736,2014-03-19,day,6.263461538461537
2737,2014-03-19,night,6.3159090909090905
2738,2014-03-20,day,5.615384615384615
2739,2014-03-20,night,5.772727272727269
2740,2014-03-21,day,5.6326923076923086
2741,2014-03-21,night,5.963636363636366
2742,2014-03-22,day,5.351923076923078
2743,2014-03-22,night,5.952272727272727
2744,2014-03-23,day,6.911538461538462
2745,2014-03-23,night,6.804545454545453
2746,2014-03-24,day,6.936538461538461
2747,2014-03-24,night,7.279545454545455
2748,2014-03-25,day,7.469230769230766
2749,2014-03-25,night,7.838636363636365
2750,2014-03-26,day,6.882692307692309
2751,2014-03-26,night,7.236363636363638
2752,2014-03-27,day,7.261538461538462
2753,2014-03-27,night,7.200000000000004
2754,2014-03-28,day,6.73076923076923
2755,2014-03-28,night,6.990909090909093
2756,2014-03-29,day,6.484615384615385
2757,2014-03-29,night,6.722727272727268
2758,2014-03-30,day,7.161538461538457
2759,2014-03-30,night,7.170454545454543
2760,2014-03-31,day,6.765384615384618
2761,2014-03-31,night,7.113636363636365
2762,2014-04-01,day,7.471153846153841
2763,2014-04-01,night,7.481818181818185
2764,2014-04-02,day,7.76153846153846
2765,2014-04-02,night,7.843181818181818
2766,2014-04-03,day,7.5153846153846136
2767,2014-04-03,night,7.545454545454548
2768,2014-04-04,day,8.17115384615385
2769,2014-04-04,night,7.856818181818181
2770,2014-04-05,day,7.9019230769230795
2771,2014-04-05,night,7.922727272727266
