"","StartDate","EndDate","StartTime","EndTime","chinook0_wild_num","chinook0_hatchery_num","chinook1_wild_num","chum0_wild_num","coho0_wild_num","coho1_wild_num","coho1_hatchery_num","steelheadsmolt_wild_num","sockeye0_wild_num","sockeye1_wild_num","pink0_wild_num","start_datetime","end_datetime","In","midpoint"
"104",2015-04-22,2015-04-23,1899-12-30 21:00:00,1899-12-30 07:30:00,12,0,0,790,4,45,0,0,0,1,0,2015-04-22 21:00:00,2015-04-23 07:30:00,10.5,2015-04-23 02:15:00
"105",2015-04-23,2015-04-24,1899-12-30 21:00:00,1899-12-30 07:30:00,12,0,0,600,2,34,0,0,0,0,0,2015-04-23 21:00:00,2015-04-24 07:30:00,10.5,2015-04-24 02:15:00
"106",2015-04-24,2015-04-24,1899-12-30 08:00:00,1899-12-30 20:30:00,1,0,0,320,0,0,0,0,0,0,0,2015-04-24 08:00:00,2015-04-24 20:30:00,12.5,2015-04-24 14:15:00
"107",2015-04-24,2015-04-25,1899-12-30 21:00:00,1899-12-30 06:30:00,6,0,1,290,3,63,0,4,0,0,0,2015-04-24 21:00:00,2015-04-25 06:30:00,9.5,2015-04-25 01:45:00
"108",2015-04-25,2015-04-26,1899-12-30 21:00:00,1899-12-30 07:30:00,11,0,0,100,1,55,0,9,0,2,0,2015-04-25 21:00:00,2015-04-26 07:30:00,10.5,2015-04-26 02:15:00
"109",2015-04-26,2015-04-27,1899-12-30 21:00:00,1899-12-30 07:00:00,7,0,0,34,2,36,0,3,0,0,0,2015-04-26 21:00:00,2015-04-27 07:00:00,10,2015-04-27 02:00:00
"110",2015-04-27,2015-04-27,1899-12-30 07:30:00,1899-12-30 21:00:00,2,0,0,88,0,6,0,0,0,0,0,2015-04-27 07:30:00,2015-04-27 21:00:00,13.5,2015-04-27 14:15:00
"111",2015-04-27,2015-04-28,1899-12-30 21:15:00,1899-12-30 07:00:00,5,0,0,40,0,108,0,4,0,1,0,2015-04-27 21:15:00,2015-04-28 07:00:00,9.75,2015-04-28 02:07:30
"112",2015-04-28,2015-04-29,1899-12-30 21:00:00,1899-12-30 07:30:00,7,0,0,200,1,118,0,5,0,0,0,2015-04-28 21:00:00,2015-04-29 07:30:00,10.5,2015-04-29 02:15:00
"113",2015-04-29,2015-04-30,1899-12-30 21:00:00,1899-12-30 07:30:00,3,0,0,15,0,55,0,3,0,0,0,2015-04-29 21:00:00,2015-04-30 07:30:00,10.5,2015-04-30 02:15:00
"114",2015-04-30,2015-04-30,1899-12-30 08:00:00,1899-12-30 20:30:00,2,0,0,110,0,0,0,0,0,0,0,2015-04-30 08:00:00,2015-04-30 20:30:00,12.5,2015-04-30 14:15:00
"115",2015-04-30,2015-05-01,1899-12-30 21:00:00,1899-12-30 07:00:00,3,0,0,25,1,46,0,3,0,0,0,2015-04-30 21:00:00,2015-05-01 07:00:00,10,2015-05-01 02:00:00
"116",2015-05-01,2015-05-02,1899-12-30 21:00:00,1899-12-30 07:30:00,4,0,0,12,1,51,0,3,0,1,0,2015-05-01 21:00:00,2015-05-02 07:30:00,10.5,2015-05-02 02:15:00
